,md,inc,azi,x,y,z,is_inflection,ti,total_ti
63,3144.0,9.8,260.08,-66.3992,-145.6288,3132.5421,True,2.570288770709084e-06,0.7564279421611388
64,3238.0,9.79,258.11,-69.4239,-161.3294,3225.1721,False,0.0,0.7564279421611388
65,3332.0,9.22,257.87,-72.6529,-176.5123,3317.8812,True,4.2940396540736e-06,0.8247728293903069
66,3428.0,10.38,258.85,-75.9415,-192.5172,3412.4788,True,1.7489622772925983e-05,0.9194146526453199
67,3516.0,10.76,256.54,-79.3867,-208.2844,3498.9858,True,4.193732475288314e-06,0.9631551999208229
68,3614.0,10.55,258.08,-83.3691,-225.9593,3595.2962,True,2.3559053445865175e-06,1.0042156869984546
69,3711.0,10.22,256.35,-87.234,-243.0102,3690.7074,True,1.714944367181559e-06,1.0429676447888958
70,3802.0,9.88,258.67,-90.673,-258.5103,3780.3113,True,3.7002849981870867e-06,1.088557337557947
71,3892.0,9.62,256.57,-93.9365,-273.3956,3869.0115,True,3.2056709675654105e-06,1.1325467854458582
72,3995.0,9.11,258.5,-97.5611,-289.7571,3970.6387,True,3.5730585514759383e-06,1.1842907560855533
73,4084.0,9.75,256.57,-100.7161,-303.9915,4058.4357,True,7.235442748054766e-06,1.248597064348959
74,4179.0,10.21,260.14,-104.0263,-320.1112,4151.9989,True,6.950412077877388e-06,1.3159033949980707
75,4274.0,9.91,260.35,-106.8384,-336.4657,4245.5382,True,1.2065866674682013e-06,1.3567263743751437
76,4365.0,9.5,260.2,-109.4293,-351.5856,4335.2357,True,2.074328997458963e-06,1.4006040595955902
77,4465.0,9.35,260.63,-112.1565,-367.7325,4433.8857,True,8.750286522030137e-07,1.4428767300699874
78,4556.0,9.47,258.65,-114.8333,-382.3658,4523.6614,True,1.507211472739911e-06,1.4848364518163375
79,4650.0,8.93,263.46,-117.1861,-397.1961,4616.4533,True,1.0741937452429795e-05,1.5789243078903914
80,4743.0,9.41,260.74,-119.2317,-411.8709,4708.2649,False,0.0,1.5789243078903914
81,4839.0,9.43,258.91,-122.0072,-427.3342,4802.9706,True,7.23762183740817e-07,1.6572947253395203
82,4934.0,8.51,255.05,-125.3177,-441.763,4896.8086,False,0.0,1.6572947253395203
83,5027.0,6.91,248.3,-129.1617,-453.6103,4988.9667,False,0.0,1.6572947253395203
84,5120.0,4.94,242.53,-133.0777,-462.3619,5081.4662,True,5.301272430280335e-05,2.0908367898606177
85,5215.0,2.31,246.84,-135.718,-467.7523,5176.2679,True,8.921309272280631e-05,2.690482701853268
86,5310.0,1.37,206.18,-137.4902,-470.0137,5271.2216,True,2.9931178108233425e-05,2.937391159336745
87,5408.0,1.51,181.34,-139.8325,-470.5608,5369.1915,True,5.883344818657932e-06,3.038897638554017
88,5499.0,1.03,198.76,-141.8056,-470.8519,5460.1692,True,4.844854067043158e-06,3.1296333514476693
89,5588.0,1.65,198.79,-143.7761,-471.5219,5549.1445,True,4.053784275148686e-06,3.214721221536933
90,5682.0,0.57,132.47,-145.3731,-471.6129,5643.1281,True,2.966638573465019e-05,3.4808249798003454
91,5781.0,1.25,127.73,-146.3664,-470.3956,5742.1151,True,5.375353002712302e-06,3.589391004750767
92,5871.0,1.03,96.07,-147.0527,-468.8148,5832.0981,False,0.0,3.589391004750767
93,5972.0,0.97,67.84,-146.8262,-467.1203,5933.0833,True,3.2716786371178586e-06,3.750014937083804
94,6061.0,1.15,68.02,-146.2078,-465.5944,6022.068,True,7.812494955405924e-07,3.819329086799508
