md,inc,azi,north,east,tvd
7849,0.58,191.79,-140.736,-459.4603,7809.991
7950,0.55,187.92,-141.7166,-459.6315,7910.9861
8048,0.67,205.62,-142.6991,-459.9441,8008.9806
8138,0.65,208.13,-143.6238,-460.4123,8098.9746
8231,0.22,214.28,-144.2365,-460.7616,8191.9717
8321,0.46,197.49,-144.7238,-460.9675,8281.9701
8423,0.75,200.54,-145.7395,-461.3247,8383.9643
8518,0.38,226.61,-146.5381,-461.7718,8478.9597
8609,0.53,183.92,-147.1653,-462.0199,8569.957
8707,0.16,200.93,-147.7453,-462.0998,8667.9551
8796,0.3,196.39,-148.0849,-462.2099,8756.9543
8891,0.49,166.29,-148.7182,-462.1838,8851.9521
8994,0.46,185.29,-149.5578,-462.1175,8954.9487
9111,0.3,182.41,-150.3315,-462.1737,9071.9461
9202,4.79,324.15,-147.488,-464.4104,9162.8449
9295,16.19,334.31,-132.607,-472.3316,9254.1454
9389,26.16,342.61,-100.9366,-484.2382,9341.7071
9434,30.96,341.03,-80.5118,-490.9697,9381.2203
9485,33.16,341.07,-54.9093,-499.76,9424.4398
9532,36.88,348.59,-28.9045,-506.7258,9462.9419
9572,38.64,353.42,-4.7254,-510.5325,9494.571
9622,40.88,353.23,27.0343,-514.2506,9533.0051
9668,44.08,348.14,57.6581,-519.3163,9566.9365
9719,48.22,344.18,93.337,-528.1518,9602.2675
9765,50.74,342.61,126.8398,-538.152,9632.153
9801,54.53,343.69,154.2199,-546.4375,9653.9975
9829,58.32,342.26,176.5193,-553.2724,9669.48
9860,62.44,339.45,201.9641,-562.1201,9684.8006
9894,68.57,342.65,231.2149,-572.1412,9698.8938
9922,72.79,341.06,256.316,-580.3723,9708.1559
9952,75.54,341.34,283.6352,-589.672,9716.3411
9987,76.33,343.66,316.0122,-599.8792,9724.8479
10014,79.09,348.52,341.6104,-606.2128,9730.5979
10045,84.15,347.76,371.6145,-612.5151,9735.1144
10137,89.89,347.36,461.2951,-632.2992,9739.8952
10234,87.84,346.61,555.7791,-654.1384,9741.8165
10327,90.92,347.35,646.3714,-675.0864,9742.8228
10417,95.37,348.66,734.2493,-693.7596,9737.8861
10515,92.66,346.22,829.6523,-715.0183,9731.024
10607,93.71,346.82,918.9779,-736.4308,9725.9125
10701,89.39,343.31,1009.7328,-760.6412,9723.3697
10794,89.29,344.03,1098.9745,-786.7881,9724.4409
10886,90.15,343.05,1187.2012,-812.855,9724.8905
10982,90.1,342.45,1278.8824,-841.3228,9724.6811
11078,91.13,346.05,1371.2563,-867.3752,9723.6503
11164,90.07,344.74,1454.4698,-889.0586,9722.7497
11255,88.25,342.35,1541.7234,-914.8293,9724.084
11356,88.74,346.18,1638.8867,-942.2043,9726.7376
11449,91.7,344.5,1728.8452,-965.7373,9726.3806
11542,90.06,345.8,1818.7235,-989.5678,9724.9522
11634,90.42,345.6,1907.872,-1012.2915,9724.5669
11734,89.23,345.77,2004.7648,-1037.0162,9724.8723
11830,90.52,344.79,2097.6107,-1061.4085,9725.0817
11925,91.02,344.79,2189.2744,-1086.3301,9723.8051
12017,86.51,343.91,2277.8195,-1111.1351,9725.7875
12116,89.79,343.2,2372.7064,-1139.1434,9728.9831
12204,91.41,344.75,2457.2768,-1163.4337,9728.0615
12301,87.75,344.67,2550.8249,-1189.008,9728.7725
12400,91.62,346.18,2646.6166,-1213.915,9729.3167
12494,92.45,348.82,2738.3215,-1234.246,9725.9782
12586,91.21,347.08,2828.2431,-1253.442,9723.0401
12679,90.75,347.08,2918.8752,-1274.2328,9721.4495
12773,89.48,349.32,3010.8808,-1293.4537,9721.2608
12868,90.38,351.87,3104.595,-1308.9764,9721.3768
12964,90.14,348.84,3199.226,-1325.0585,9720.9411
13056,90.84,347.4,3289.2492,-1343.9965,9720.1543
13152,89.34,348.71,3383.1657,-1363.8648,9720.0035
13247,89.72,347.52,3476.1242,-1383.4289,9720.7828
13338,90.19,345.98,3564.6987,-1404.2854,9720.8543
13433,91.72,348.29,3657.292,-1425.433,9719.2707
13526,94.48,347.37,3748.0594,-1445.0069,9714.2418
13618,91.84,344.21,3837.0888,-1467.5547,9709.1695
13713,86.23,342.8,3928.1277,-1494.512,9710.7689
13802,86.29,343.08,4013.0302,-1520.5665,9716.5743
13900,88.84,344.03,4106.9278,-1548.2814,9720.7377
13994,89.04,345.73,4197.6547,-1572.7954,9722.4767
14086,91.25,346.11,4286.8848,-1595.1753,9722.2439
14182,91.02,345.8,4379.9965,-1618.4684,9720.3423
14276,90.07,345.51,4471.0604,-1641.7565,9719.4482
14372,87.51,347.81,4564.4351,-1663.8991,9721.4756
14467,88.28,345.66,4656.8318,-1685.6816,9724.9654
14560,87.0,344.82,4746.684,-1709.3542,9728.7949
14650,93.66,347.52,4834.016,-1730.8542,9728.2768
14749,90.38,346.92,4930.4897,-1752.7376,9724.7876
14847,88.73,344.84,5025.5175,-1776.642,9725.5488
14932,90.83,346.2,5107.8103,-1797.8937,9725.8752
15030,89.93,336.05,5200.4162,-1829.5551,9725.2235
15127,87.15,340.46,5290.4526,-1865.4694,9727.696
15219,86.85,342.73,5377.6212,-1894.4752,9732.5115
15313,88.15,344.93,5467.8093,-1920.6251,9736.6121
15413,87.73,346.02,5564.5489,-1945.6888,9740.2068
15499,91.05,347.14,5648.1829,-1965.6439,9741.1223
15596,92.93,348.66,5742.9635,-1985.9638,9737.7539
15690,91.73,347.49,5834.8555,-2005.3708,9733.9323
15785,90.57,345.7,5927.2432,-2027.3895,9732.0256
15876,88.28,346.98,6015.657,-2048.8773,9732.9388
15972,88.25,345.83,6108.9229,-2071.432,9735.8454
16067,88.94,347.28,6201.2885,-2093.5131,9738.1749
16160,91.75,348.21,6292.1575,-2113.2511,9737.6149
16253,91.39,346.85,6382.9272,-2133.3245,9735.0668
16352,91.3,346.57,6479.2492,-2156.0763,9732.743
16443,90.02,344.83,6567.4185,-2178.5506,9731.6947
16539,89.89,347.28,6660.582,-2201.6839,9731.7701
16631,89.69,348.7,6750.5653,-2220.8269,9732.1074
16724,88.33,346.86,6841.4386,-2240.5073,9733.7143
16819,88.76,347.47,6934.0344,-2261.604,9736.1265
16915,90.84,347.08,7027.6706,-2282.7487,9736.4616
17007,91.1,344.91,7116.9176,-2305.0087,9734.904
17104,92.59,346.13,7210.7832,-2329.2495,9731.781
17197,93.61,344.43,7300.5949,-2352.844,9726.7513
17296,91.79,343.51,7395.6347,-2380.1507,9722.0879
17387,88.44,344.07,7483.004,-2405.5504,9721.9053
17478,90.47,343.19,7570.3057,-2431.1951,9722.7708
17575,90.87,343.34,7663.1908,-2459.1238,9721.6366
17609,91.11,343.68,7695.7874,-2468.7732,9721.0491
17680,91.07,342.88,7763.7728,-2489.1957,9719.6985
17756,90.58,344.36,7836.6784,-2510.6252,9718.6041
17833,90.23,342.11,7910.3989,-2532.8337,9718.0598
17905,90.11,341.1,7978.7187,-2555.554,9717.8461
17982,90.42,342.02,8051.7636,-2579.9095,9717.49
18052,90.55,343.6,8118.6321,-2600.596,9716.8974
